instance,worse,median,best,seed1,fitness1,time1,seed2,fitness2,time2,seed3,fitness3,time3,seed4,fitness4,time4,seed5,fitness5,time5
pr226_n675_bounded-strongly-corr_07,165652.267452212,165652.267452212,166447.492788123,37,166447.492788123,262.971520039,157,166286.704422539,506.40330031,277,165652.267452212,31.461010898,397,165652.267452212,149.855790834,517,165652.267452212,376.124993837
pr226_n675_bounded-strongly-corr_08,177438.553039933,177438.553039933,177724.523954172,38,177438.553039933,15.163952287,158,177724.523954172,33.341031207,278,177438.553039933,11.245426762,398,177438.553039933,14.824863708,518,177438.553039933,18.564634958
pr226_n675_bounded-strongly-corr_09,196539.987700775,196539.987700775,196585.319296857,39,196585.319296857,231.815979818,159,196539.987700775,546.945743636,279,196585.319296857,256.869967009,399,196539.987700775,553.243095061,519,196539.987700775,280.201791748
pr226_n675_bounded-strongly-corr_10,202949.981528501,202949.981528501,202949.981528501,40,202949.981528501,6.035193284,160,202949.981528501,20.166503822,280,202949.981528501,5.025703738,400,202949.981528501,22.551910623,520,202949.981528501,10.391700979
pr226_n675_uncorr-similar-weights_01,22955.7738752362,22960.676905671,22961.796905671,41,22960.676905671,275.447600111,161,22961.796905671,558.257898149,281,22955.7738752362,51.488974057,401,22961.796905671,267.517509244,521,22960.676905671,485.421460256
pr226_n675_uncorr-similar-weights_02,36002.066829861,36002.066829861,36002.066829861,42,36002.066829861,459.569825448,162,36002.066829861,82.791171277,282,36002.066829861,177.925037279,402,36002.066829861,579.001298471,522,36002.066829861,363.734729194
pr226_n675_uncorr-similar-weights_03,46547.5316148978,46564.8175273328,46591.8253532583,43,46591.550996299,35.727175028,163,46564.8175273328,393.163015353,283,46557.5183488166,237.584083014,403,46547.5316148978,102.175243262,523,46591.8253532583,294.610389771
pr226_n675_uncorr-similar-weights_04,59015.280812705,59015.280812705,59015.280812705,44,59015.280812705,23.252847664,164,59015.280812705,260.163354772,284,59015.280812705,309.463467497,404,59015.280812705,87.637427107,524,59015.280812705,486.943781399
pr226_n675_uncorr-similar-weights_05,70679.5462100116,72205.6163801707,72335.5699574861,45,72198.8403213499,295.256589932,165,70679.5462100116,101.294998411,285,72335.5699574861,307.148281208,405,72205.6163801707,343.395097624,525,72335.5699574861,461.772158389
pr226_n675_uncorr-similar-weights_06,79255.4349809523,80889.3032573743,82209.2574936222,46,80889.3032573743,133.124190143,166,82045.4393056779,412.795016218,286,79255.4349809523,30.34433742,406,79255.4349809523,205.66203281,526,82209.2574936222,285.500440428
pr226_n675_uncorr-similar-weights_07,87101.2154066534,87101.2154066534,89066.8225838576,47,87101.2154066534,4.701623545,167,87101.2154066534,161.201555029,287,87101.2154066534,72.185043315,407,87101.2154066534,19.151375842,527,89066.8225838576,57.173683685
pr226_n675_uncorr-similar-weights_08,95708.5207979424,96184.0124536314,97020.914089968,48,97020.914089968,24.459787729,168,96088.8118356411,574.720655545,288,95708.5207979424,169.003648437,408,96184.0124536314,124.453698516,528,96184.0124536314,489.037930551
pr226_n675_uncorr-similar-weights_09,106438.617928012,107059.401665913,107168.64834308,49,107168.64834308,232.00653239,169,107059.401665913,332.294367996,289,106438.617928012,149.188313207,409,107059.401665913,350.653587092,529,107117.792742512,105.002781476
pr226_n675_uncorr-similar-weights_10,117868.778765808,118001.636463325,118110.703611213,50,118110.703611213,375.666683912,170,118001.636463325,226.143313287,290,118001.636463325,481.527997946,410,117868.778765808,143.996960735,530,118110.703611213,526.489510366
pr226_n675_uncorr_01,35218.9841522629,35218.9841522629,35767.4230990231,51,35218.9841522629,73.558110263,171,35269.0842754252,30.53445078,291,35218.9841522629,100.543408821,411,35218.9841522629,331.712925809,531,35767.4230990231,22.390934715
pr226_n675_uncorr_02,58062.3502995835,58065.176548446,58065.176548446,52,58062.3502995835,355.859195727,172,58065.176548446,78.082971293,292,58062.374610792,26.991177984,412,58065.176548446,439.428729414,532,58065.176548446,44.415832074
pr226_n675_uncorr_03,68111.3110927727,68111.3110927727,68149.4189270372,53,68111.3110927727,103.156977078,173,68111.3110927727,4.203948687,293,68149.4189270372,314.66942244,413,68111.3110927727,116.84424875,533,68111.3110927727,209.128424776
pr226_n675_uncorr_04,80169.1350318198,80169.1350318198,80169.1350318198,54,80169.1350318198,2.384255418,174,80169.1350318198,29.741848229,294,80169.1350318198,412.967325637,414,80169.1350318198,8.328353841,534,80169.1350318198,513.576310242
pr226_n675_uncorr_05,90487.4166126345,90487.4166126345,90487.4166126345,55,90487.4166126345,131.109395484,175,90487.4166126345,43.063932634,295,90487.4166126345,51.119024837,415,90487.4166126345,173.353490272,535,90487.4166126345,45.197644504
pr226_n675_uncorr_06,96519.4550296967,96519.4550296967,96519.4550296967,56,96519.4550296967,35.531873089,176,96519.4550296967,4.225010024,296,96519.4550296967,53.970269483,416,96519.4550296967,35.708409174,536,96519.4550296967,148.402421886
pr226_n675_uncorr_07,102729.71503767,102729.71503767,102729.71503767,57,102729.71503767,22.431580994,177,102729.71503767,43.114786981,297,102729.71503767,9.958302756,417,102729.71503767,45.240600934,537,102729.71503767,9.853174116
pr226_n675_uncorr_08,110418.147011922,110418.147011922,110418.147011922,58,110418.147011922,4.892699072,178,110418.147011922,26.895868205,298,110418.147011922,63.632690727,418,110418.147011922,34.05277298,538,110418.147011922,11.68138114
