instance,MEA2P
eil51_n500_uncorr_08,51236
eil51_n500_uncorr_09,56653
eil51_n500_uncorr_10,65075
eil51_n500_uncorr-similar-weights_01,13407
eil51_n500_uncorr-similar-weights_02,20667
eil51_n500_uncorr-similar-weights_03,23372
eil51_n500_uncorr-similar-weights_04,22789
eil51_n500_uncorr-similar-weights_05,29679
eil51_n500_uncorr-similar-weights_06,33347
eil51_n500_uncorr-similar-weights_07,38734
eil51_n500_uncorr-similar-weights_08,42567
eil51_n500_uncorr-similar-weights_09,48774
eil51_n500_uncorr-similar-weights_10,55972
pr76_n225_bounded-strongly-corr_01,15677
pr76_n225_bounded-strongly-corr_02,21697
pr76_n225_bounded-strongly-corr_03,27606
pr76_n225_bounded-strongly-corr_04,35534
pr76_n225_bounded-strongly-corr_05,45992
pr76_n225_bounded-strongly-corr_06,48722
pr76_n225_bounded-strongly-corr_07,61958
pr76_n225_bounded-strongly-corr_08,64072
pr76_n225_bounded-strongly-corr_09,69948
pr76_n225_bounded-strongly-corr_10,72785
pr76_n225_uncorr_01,18558
pr76_n225_uncorr_02,14203
pr76_n225_uncorr_03,18507
pr76_n225_uncorr_04,19730
pr76_n225_uncorr_05,21330
pr76_n225_uncorr_06,25797
pr76_n225_uncorr_07,28096
pr76_n225_uncorr_08,32781
pr76_n225_uncorr_09,33530
pr76_n225_uncorr_10,35419
pr76_n225_uncorr-similar-weights_01,8137
pr76_n225_uncorr-similar-weights_02,11708
pr76_n225_uncorr-similar-weights_03,16084
pr76_n225_uncorr-similar-weights_04,16772
pr76_n225_uncorr-similar-weights_05,17890
pr76_n225_uncorr-similar-weights_06,21721
pr76_n225_uncorr-similar-weights_07,26278
pr76_n225_uncorr-similar-weights_08,28000
pr76_n225_uncorr-similar-weights_09,32050
pr76_n225_uncorr-similar-weights_10,35172
pr76_n375_bounded-strongly-corr_01,24581
pr76_n375_bounded-strongly-corr_02,35940
pr76_n375_bounded-strongly-corr_03,47559
pr76_n375_bounded-strongly-corr_04,58355
pr76_n375_bounded-strongly-corr_05,75199
pr76_n375_bounded-strongly-corr_06,89054
pr76_n375_bounded-strongly-corr_07,99287
pr76_n375_bounded-strongly-corr_08,102682
pr76_n375_bounded-strongly-corr_09,111114
pr76_n375_bounded-strongly-corr_10,109152
pr76_n375_uncorr_01,25970
pr76_n375_uncorr_02,30084
pr76_n375_uncorr_03,35036
pr76_n375_uncorr_04,39062
pr76_n375_uncorr_05,38792
pr76_n375_uncorr_06,44311
pr76_n375_uncorr_07,50278
pr76_n375_uncorr_08,53436
pr76_n375_uncorr_09,57215
pr76_n375_uncorr_10,60243
pr76_n375_uncorr-similar-weights_01,14351
pr76_n375_uncorr-similar-weights_02,24548
pr76_n375_uncorr-similar-weights_03,28761
pr76_n375_uncorr-similar-weights_04,27882
pr76_n375_uncorr-similar-weights_05,31580
pr76_n375_uncorr-similar-weights_06,34393
pr76_n375_uncorr-similar-weights_07,40479
pr76_n375_uncorr-similar-weights_08,46661
pr76_n375_uncorr-similar-weights_09,52851
pr76_n375_uncorr-similar-weights_10,57648
pr76_n750_bounded-strongly-corr_01,46357
pr76_n750_bounded-strongly-corr_02,74904
pr76_n750_bounded-strongly-corr_03,105578
pr76_n750_bounded-strongly-corr_04,125571
pr76_n750_bounded-strongly-corr_05,148120
pr76_n750_bounded-strongly-corr_06,164316
pr76_n750_bounded-strongly-corr_07,182791
pr76_n750_bounded-strongly-corr_08,188935
pr76_n750_bounded-strongly-corr_09,198073
pr76_n750_bounded-strongly-corr_10,198683
pr76_n750_uncorr_01,43981
pr76_n750_uncorr_02,65043
pr76_n750_uncorr_03,74299
pr76_n750_uncorr_04,84284
pr76_n750_uncorr_05,89054
pr76_n750_uncorr_06,97631
pr76_n750_uncorr_07,106757
pr76_n750_uncorr_08,116661
pr76_n750_uncorr_09,122762
pr76_n750_uncorr_10,128846
pr76_n750_uncorr-similar-weights_01,28738
pr76_n750_uncorr-similar-weights_02,43682
pr76_n750_uncorr-similar-weights_03,54208
pr76_n750_uncorr-similar-weights_04,61126
pr76_n750_uncorr-similar-weights_05,71931
pr76_n750_uncorr-similar-weights_06,80610
pr76_n750_uncorr-similar-weights_07,92090
pr76_n750_uncorr-similar-weights_08,102098
pr76_n750_uncorr-similar-weights_09,110536
pr76_n750_uncorr-similar-weights_10,122718
