instance,tsp,cities,items,type,capacity,best,algo,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,C6,MATLS,DH,M3,M4,M3B,M4B,RLS,EA,SH,NDSBRKGA,WSM,JK17,JC17,MY17,WC17,HLS,CS2SA*,CS2SA-R,JNB,J2B,MEA2P,COCO,COCOP,COCOL
eil51_n150_bounded-strongly-corr_09,eil51,51,3,bsc,9,23553.0,"M3,M4,M3B,M4B,JC17,MEA2P",11408.03264,11408.03264,23459.47909,23459.47909,23459.47909,11408.03264,23459.47909,23459.47909,23459.47909,23459.47909,23459.47909,22582.0,22514.63,23552.52401,23552.52401,23552.52401,23552.52401,23381.90536,23414.15254,6526.34,23459.47883,23459.47883,-inf,23552.5240147205,23459.4790865097,-inf,-inf,-inf,-inf,-inf,-inf,23553.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_10,eil51,51,3,bsc,10,24359.0,"M3,M4,M3B,M4B,JC17,MEA2P",24171.73386,11666.31045,24173.70888,24171.73386,24171.73386,24171.73386,24173.70888,24161.11984,24173.70888,24171.73386,24173.70888,22585.0,23332.39,24359.40933,24359.40933,24359.40933,24359.40933,24124.254,24114.42656,3437.09,24173.70954,24173.70954,-inf,24359.4093253168,24173.7088792473,-inf,-inf,-inf,-inf,-inf,-inf,24359.0,-inf,-inf,-inf
eil51_n150_uncorr_01,eil51,51,3,unc,1,6884.0,"M4B,JC17,MEA2P",5218.985357,5326.805489,5550.548917,5326.805489,5326.805489,5326.805489,5550.548917,5326.805489,5550.548917,5894.737046,5953.085373,6679.67,-1027.71,6653.987771,6695.627072,6783.909115,6884.426319,5643.875708,5865.673086,-1027.71,5953.08541,6362.27047,-inf,6884.42631886256,6668.93210475538,-inf,-inf,-inf,-inf,-inf,-inf,6884.0,-inf,-inf,-inf
eil51_n150_uncorr_02,eil51,51,3,unc,2,9363.0,"JC17,MEA2P",8077.01108,7847.762843,7847.762843,8080.94162,8080.94162,7847.762843,7847.762843,8228.044775,8228.044775,8228.044775,8228.044775,9208.58,1238.41,9167.39307,9167.39307,9330.985304,9330.985304,8224.225382,8190.344367,-3028.93,9330.98526,8577.66249,-inf,9363.14363434964,9215.73792087241,-inf,-inf,-inf,-inf,-inf,-inf,9363.0,-inf,-inf,-inf
eil51_n150_uncorr_03,eil51,51,3,unc,3,11360.0,"M3B,M4B,JC17,MEA2P",9498.552694,9718.264143,9723.820787,9718.264143,9718.264143,9718.264143,9723.820787,9718.264143,9718.264143,9718.264143,9723.820787,11179.9,2996.81,11262.79449,11262.79449,11360.4237,11360.4237,9547.933142,9496.266052,-5129.38,9723.82081,9723.82081,-inf,11360.4237034939,10736.8766218386,-inf,-inf,-inf,-inf,-inf,-inf,11360.0,-inf,-inf,-inf
eil51_n150_uncorr_04,eil51,51,3,unc,4,9086.0,"JC17,MEA2P",6705.942743,7151.943639,7151.943639,6708.989951,7151.943639,7151.943639,7151.943639,7151.943639,7151.943639,7151.943639,7151.943639,8589.11,1700.34,8903.476314,8913.351822,8919.420176,8927.813478,6705.942743,6704.166423,-9991.72,7151.94381,7788.56387,-inf,9085.75409844174,8373.95927178644,-inf,-inf,-inf,-inf,-inf,-inf,9086.0,-inf,-inf,-inf
eil51_n150_uncorr_05,eil51,51,3,unc,5,9734.0,"M4B,JC17,MEA2P",7405.117003,7957.535878,7957.535878,7957.535878,7957.535878,7957.535878,7408.09618,7957.535878,7957.535878,7957.535878,7957.535878,9125.83,3139.06,9633.041471,9731.559267,9633.041471,9733.762843,7366.88122,7405.117003,-9564.79,7957.5357,8076.26405,-inf,9733.76284321467,9460.28576979678,-inf,-inf,-inf,-inf,-inf,-inf,9734.0,-inf,-inf,-inf
eil51_n150_uncorr_06,eil51,51,3,unc,6,11135.0,"JC17,MEA2P",9110.233229,9153.086859,9457.202685,9153.086859,9457.202685,9457.202685,9457.202685,9457.202685,9457.202685,9457.202685,9457.202685,10769.2,5336.05,11020.32361,11069.99617,11020.32361,11107.48024,9110.233229,9110.233229,-10280.14,9457.20256,9797.15056,-inf,11135.499116159,10913.2414125715,-inf,-inf,-inf,-inf,-inf,-inf,11135.0,-inf,-inf,-inf
eil51_n150_uncorr_07,eil51,51,3,unc,7,11763.0,"JC17,MEA2P",10040.39082,10078.54361,10072.93914,10078.54361,10078.54361,10074.21451,10078.54361,10078.54361,10078.54361,10078.54361,10078.54361,11038.3,6729.83,11710.45275,11710.45275,11710.45275,11710.45275,10038.79908,10038.79908,-8301.19,10078.54337,10717.19029,-inf,11763.1116553358,11597.5918279282,-inf,-inf,-inf,-inf,-inf,-inf,11763.0,-inf,-inf,-inf
eil51_n150_uncorr_08,eil51,51,3,unc,8,14415.0,"M4,JC17,MEA2P",12848.07704,12882.48734,12516.65503,12882.48734,12882.48734,12516.65503,12882.48734,12882.48734,12882.48734,12882.48734,12882.48734,14227.7,8808.29,14404.81437,14415.21237,14404.81437,14404.81437,12848.07704,12848.07704,-6729.81,12882.48766,13450.29216,-inf,14415.2123656652,14161.4461386618,-inf,-inf,-inf,-inf,-inf,-inf,14415.0,-inf,-inf,-inf
eil51_n150_uncorr_09,eil51,51,3,unc,9,17394.0,"M3,M4,M3B,M4B,JC17,MEA2P",15880.0404,15912.86159,15482.31496,15910.5806,15910.5806,15465.37258,15912.86159,15912.86159,15912.86159,15912.86159,15912.86159,16690.6,13114.44,17394.06184,17394.06184,17394.06184,17394.06184,15882.56159,15882.56159,-1102.98,15912.86145,16496.39767,-inf,17394.0618438429,16903.3204178483,-inf,-inf,-inf,-inf,-inf,-inf,17394.0,-inf,-inf,-inf
eil51_n150_uncorr_10,eil51,51,3,unc,10,20173.0,"M3,M4,M3B,M4B,JC17,MEA2P",18405.60659,18807.48766,18783.3475,18791.19229,18791.19229,18420.15671,18420.15671,18807.48766,18807.48766,18807.48766,18807.48766,19326.9,16963.38,20172.69194,20172.69194,20172.69194,20172.69194,18783.3475,18783.3475,7738.49,18807.48748,19533.8724,-inf,20172.6919439361,19645.1742830583,-inf,-inf,-inf,-inf,-inf,-inf,20173.0,-inf,-inf,-inf
eil51_n150_uncorr-similar-weights_01,eil51,51,3,usw,1,4325.0,"JC17,MEA2P",3814.375742,3117.053632,3814.375742,3814.375742,3814.375742,3814.375742,3315.75598,3814.375742,3814.375742,3814.375742,3814.375742,4214.14,2085.65,4246.717133,4252.227954,4260.508962,4274.510761,2544.81949,3797.687901,2085.65,3977.56528,3814.37577,-inf,4325.29834032148,4205.67216326831,-inf,-inf,-inf,-inf,-inf,-inf,4325.0,-inf,-inf,-inf
eil51_n150_uncorr-similar-weights_02,eil51,51,3,usw,2,7958.0,"M4B,JC17,MEA2P",7374.825683,6074.924883,7333.756727,7374.825683,7374.825683,7374.825683,7374.825683,7374.825683,7374.825683,7374.825683,7374.825683,7665.85,2968.69,7928.316517,7928.316517,7929.579285,7958.241736,7208.153385,7325.237672,1511.96,7508.41075,7374.82566,-inf,7958.24173639874,7837.03620576688,-inf,-inf,-inf,-inf,-inf,-inf,7958.0,-inf,-inf,-inf
eil51_n150_uncorr-similar-weights_03,eil51,51,3,usw,3,11166.0,"M4,JC17,MEA2P",8914.581417,8914.581417,10008.9943,10048.90156,10048.90156,10048.90156,10057.36622,10048.90156,10048.90156,10048.90156,10057.36622,11129.2,4343.52,11032.32287,11166.44439,11032.32287,11075.65456,9879.145699,9966.091941,2157.33,10200.44878,10057.36634,-inf,11166.4443926575,10938.5889788682,-inf,-inf,-inf,-inf,-inf,-inf,11166.0,-inf,-inf,-inf
eil51_n150_uncorr-similar-weights_04,eil51,51,3,usw,4,8118.0,"JC17,MEA2P",6849.702551,6031.644336,6806.524846,6849.702551,6849.702551,6854.742426,6031.644336,6854.742426,6860.199475,6854.742426,6860.199475,8070.92,2255.31,8011.890352,8011.890352,8021.958165,8082.491028,6773.747431,6806.524846,-415.59,6860.19935,6860.19935,-inf,8118.10939226481,-inf,-inf,-inf,-inf,-inf,-inf,-inf,8118.0,-inf,-inf,-inf
eil51_n150_uncorr-similar-weights_05,eil51,51,3,usw,5,9103.0,"JC17,MEA2P",7698.679754,7098.091806,7098.091806,7698.679754,7698.679754,7712.95207,7712.95207,7721.135588,7721.135588,7721.135588,7724.064676,8945.39,3245.97,8952.202704,8952.202704,8953.007925,8953.007925,7653.152122,7656.650784,-2032.53,7724.06471,7724.06471,-inf,9102.95499215468,8239.82809240019,-inf,-inf,-inf,-inf,-inf,-inf,9103.0,-inf,-inf,-inf
